code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_5807682767_5807682763_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.022707501146005577,2,3000,4.0254295,9.6921007,4.025336,9.6922827,4.025382750004223,9.692191700005836,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682767_5765893221_0,Segment sans nom,Rue secondaire,0.035564401660523576,2,1600,4.0254295,9.6921007,4.0251319,9.6921885,4.025286754414026,9.692165424377041,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682768_4536692599_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.04181979434342664,2,3000,4.0254784,9.6921236,4.0256143,9.6917737,4.025553953174897,9.69195132291021,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540382_732153022_0,Segment sans nom,Rue secondaire,0.0023597220962079577,2,1600,4.0326964,9.6831261,4.0326759,9.6831316,4.03268615,9.683128850000026,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540385_5811540391_0,Segment sans nom,Rue secondaire,0.002360426632143005,2,1600,4.0327365,9.6832022,4.032745,9.6831827,4.03274075000005,9.683192450000059,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540388_4191970527_0,Segment sans nom,Rue secondaire,0.05231423460362193,2,1600,4.0326791,9.6832177,4.0330145,9.6833104,4.032827149387384,9.6833476292428,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540388_5811540385_0,Segment sans nom,Rue secondaire,0.0070778420984573525,2,1600,4.0326791,9.6832177,4.0327365,9.6832022,4.032709423713043,9.683215885056452,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540391_4191970526_0,Segment sans nom,Rue secondaire,0.02779664467153197,2,1600,4.032745,9.6831827,4.0329249,9.6830099,4.032838125832819,9.683099215499148,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5811540391_5811540382_0,Segment sans nom,Rue secondaire,0.009426045050557264,2,1600,4.032745,9.6831827,4.0326964,9.6831261,4.0327291342919285,9.683147206732649,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812190134_732145184_0,Segment sans nom,Rue secondaire,0.07221025519617905,2,1600,4.0949141,9.6655883,4.0943947,9.6651975,4.09465440003503,9.665392899934096,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812233071_732129437_0,Segment sans nom,Rue secondaire,0.08608489809348098,2,1600,4.0064234,9.7447935,4.0066872,9.7455231,4.006553756262025,9.745158849988545,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812233071_732128547_0,Segment sans nom,Rue secondaire,0.02252997493179911,2,1600,4.0064234,9.7447935,4.0063397,9.7446089,4.006384013586697,9.74470016782856,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812233071_5807050923_0,Segment sans nom,Rue secondaire,0.06244346578047518,2,1600,4.0064234,9.7447935,4.0058932,9.744979,4.0061581612374875,9.744885857679913,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812413529_13127998610_0,Segment sans nom,Rue secondaire,0.05497968767823953,2,1600,4.0825853,9.6607187,4.0825459,9.6602287,4.082550858987438,9.660473906794198,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812413529_5812807741_0,Segment sans nom,Rue secondaire,0.2327666645142665,2,1600,4.0825853,9.6607187,4.0838448,9.6599916,4.083177929582194,9.66068492339394,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812413529_13127967499_0,Segment sans nom,Rue secondaire,0.07259839211455524,2,1600,4.0825853,9.6607187,4.0819358,9.6607637,4.082261623707267,9.660745726523523,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448856_3556567555_0,Segment sans nom,Rue secondaire,0.0890277064670417,2,1600,4.0570837,9.7444785,4.0566984,9.7437749,4.056891050092586,9.744126699926522,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448856_2381200790_0,Segment sans nom,Rue secondaire,0.020048176644818318,2,1600,4.0570837,9.7444785,4.0569646,9.7446142,4.05702415000198,9.744546350005093,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448856_5812448857_0,Segment sans nom,Rue secondaire,0.03134903518127864,2,1600,4.0570837,9.7444785,4.0572837,9.7446772,4.057181217024743,9.744580282753441,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448857_732141309_0,Segment sans nom,Rue secondaire,0.03190608925813862,2,1600,4.0572837,9.7446772,4.0573843,9.7449466,4.057334000012822,9.744811899993444,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448857_5812448856_0,Segment sans nom,Rue secondaire,0.03134903518127864,2,1600,4.0572837,9.7446772,4.0570837,9.7444785,4.057181217024743,9.744580282753441,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448857_732123373_0,Segment sans nom,Rue secondaire,0.3033414817082962,2,1600,4.0572837,9.7446772,4.0568224,9.7419819,4.0570589355105255,9.743328608650488,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448874_5812465739_0,Segment sans nom,Rue secondaire,0.05697003772686433,2,1600,4.0579879,9.7464247,4.0583417,9.7467962,4.058164800029271,9.746610449959972,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448874_732118836_0,Segment sans nom,Avenue principale,0.06778494153397441,2,3000,4.0579879,9.7464247,4.057413,9.7466199,4.057695212556589,9.746507604654385,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448874_732131624_0,Segment sans nom,Avenue principale,0.06978950214704269,2,3000,4.0579879,9.7464247,4.0586097,9.7463406,4.058299126696656,9.746384778995639,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448886_732134107_0,Segment sans nom,Avenue principale,0.0308085214269141,2,3000,4.0570807,9.7500705,4.0568109,9.7500073,4.0569458000018175,9.750038899992807,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448886_732121224_0,Segment sans nom,Avenue principale,0.0662015231979452,2,3000,4.0570807,9.7500705,4.0576652,9.750184,4.057372950006841,9.750127249970276,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448886_5812448887_0,Segment sans nom,Rue secondaire,0.04779491114328969,2,1600,4.0570807,9.7500705,4.0569816,9.7504898,4.0570311500249066,9.75028015001753,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448887_732123446_0,Segment sans nom,Rue secondaire,0.028348373655818986,2,1600,4.0569816,9.7504898,4.0567371,9.7504174,4.056859350002008,9.75045359999301,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448887_5812448886_0,Segment sans nom,Rue secondaire,0.04779491114328969,2,1600,4.0569816,9.7504898,4.0570807,9.7500705,4.0570311500249066,9.75028015001753,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812448887_732120305_0,Segment sans nom,Rue secondaire,0.10401398240074812,2,1600,4.0569816,9.7504898,4.0578797,9.750752,4.0574303390468085,9.75062196010551,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812465739_5812448874_0,Segment sans nom,Rue secondaire,0.05697003772686433,2,1600,4.0583417,9.7467962,4.0579879,9.7464247,4.058164800029271,9.746610449959972,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518606_732121719_0,Segment sans nom,Rue secondaire,0.04009322914203704,2,1600,4.0813046,9.6673672,4.0816106,9.667176,4.081457600003011,9.667271600016663,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518606_732123561_0,Segment sans nom,Rue secondaire,0.06145898559582918,2,1600,4.0813046,9.6673672,4.0808356,9.6676604,4.081070100007081,9.667513800039165,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518606_5812518607_0,Segment sans nom,Rue secondaire,0.06285462045373778,2,1600,4.0813046,9.6673672,4.0810208,9.6668771,4.081162700044781,9.66712214996106,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518607_5812518606_0,Segment sans nom,Rue secondaire,0.06285462045373778,2,1600,4.0810208,9.6668771,4.0813046,9.6673672,4.081162700044781,9.66712214996106,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518608_732144145_0,Segment sans nom,Rue secondaire,0.07367548275192118,2,1600,4.081903,9.6601139,4.0813038,9.659839,4.081597058956178,9.659992205567198,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518617_732129006_0,Segment sans nom,Rue secondaire,0.06845131738354,2,1600,4.0821004,9.6595721,4.0815051,9.6594231,4.081805031417227,9.65948644335828,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518620_5812518629_0,Segment sans nom,Rue secondaire,0.11943436116089734,2,1600,4.0818385,9.6607952,4.0808851,9.6603674,4.08134024821854,9.660641352898386,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518629_732136927_0,Segment sans nom,Rue secondaire,0.02509745847377894,2,1600,4.0808851,9.6603674,4.0807557,9.6605528,4.080820400004203,9.660460100007866,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518629_732131691_0,Segment sans nom,Rue secondaire,0.0245713828451816,2,1600,4.0808851,9.6603674,4.081024,9.6601951,4.080954550003484,9.660281250007667,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518629_5812518620_0,Segment sans nom,Rue secondaire,0.11943436116089733,2,1600,4.0808851,9.6603674,4.0818385,9.6607952,4.081340248218539,9.660641352898383,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518630_732120261_0,Segment sans nom,Rue secondaire,0.03923342648960348,2,1600,4.0819364,9.6669651,4.0822328,9.6667732,4.082084600003121,9.666869150016316,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518630_732121719_0,Segment sans nom,Rue secondaire,0.04312292339419624,2,1600,4.0819364,9.6669651,4.0816106,9.667176,4.081773500003767,9.667070550019709,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518630_5812518638_0,Segment sans nom,Rue secondaire,0.1349856686361486,2,1600,4.0819364,9.6669651,4.0818515,9.6660376,4.081720357059538,9.666457532144026,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812518638_5812518630_0,Segment sans nom,Rue secondaire,0.1349856686361486,2,1600,4.0818515,9.6660376,4.0819364,9.6669651,4.0817203570595355,9.666457532144026,False,OpenStreetMap,2026-05-30T20:07:09.399149
